,,,,,,,,,,,,,,,,,
Session (week),Month,Module,Concat Week Name,Topic,Concat Session Name,Sub-Module,Learning Goals,Prepared by,Session Type,Format,Preparation Status,Duration,Instructor Name,"Deck Link
(Master Folder)",Pre/Post Test Link(Master Folder),Progress Notes,Deck Feedback
Week 3,1st, Data Foundations & Exploratory Analysis (EDA),Week 3 -  Data Foundations & Exploratory Analysis (EDA),Exploratory Data Analysis (EDA),Week 3 - Exploratory Data Analysis (EDA)," 1. What is EDA and why it matters
 2. Descriptive statistics (mean, median, mode, distribution)
 3. Identifying patterns and anomalies in data
 4. Basic visualization in EDA (histograms, scatter plots, trend lines)
 5. Case walkthrough: analyzing sales dataset with EDA"," • Understand the purpose of exploratory data analysis.
 • Apply descriptive statistics to summarize a dataset.
 • Identify anomalies, trends, and patterns in data.
 • Use simple charts to communicate exploratory findings.",RevoU,Lecture,Online,Not Started,1 sessions (@ 120mins),Cornellius Yudha Wijaya,https://docs.google.com/presentation/d/1qMIXx9TwYaCcXNXkGKF0bkVpmFBwmOmBs5J-dJpkfek/edit?usp=drive_link,https://docs.google.com/document/d/1A0doA7kbqRMafNVzLYcFOpix6zFaK2rahH8DziixJRc/edit?usp=drive_link,,"Ditambahkan contoh gambar dan key answer dari praktek EDA, harapannya bisa sekaligus sambil siswa mempraktekkan juga supaya paham. Karena fokus EDA disini adalah mencoba menganalisa data dan paham stepsnya → nanti ini juga bisa jadi langkah yang diberikan ke AI untuk mengurangi mistakes / halusinasi "
Week 3,1st, Data Foundations & Exploratory Analysis (EDA),Week 3 -  Data Foundations & Exploratory Analysis (EDA),Data Preparation & First Exploration,Week 3 - Data Preparation & First Exploration,"  1.  Capstone dataset: choosing or assigning datasets for each team
  2.  Hands-on: clean and prepare dataset (fix missing values, remove duplicates)
  3.  Run basic descriptive analysis (averages, distributions, correlations)
  4.  Group sharing: first findings and challenges with the data"," Simulation:
• Apply data cleaning techniques to prepare a dataset.
 • Perform exploratory data analysis on a real dataset.
 • Connect early findings back to the Week 2 problem statement.
 • Document Capstone Step 2: Prepared Dataset + First Insights.

Capstone outcome:
1. A cleaned and prepared dataset.
2. A set of initial exploratory insights (descriptive stats, early patterns).
This sets up Week 4 (Visualization & Communication), where they will turn these findings into a compelling story.",RevoU,Simulation + Capstone,Online,Not Started,1 sessions (@ 120mins),,,,,
Week 4: Visualization & Communication,,,,,,,,,,,,,,,,,
Week 4,1st,Data Visualization & Communication,Week 4 - Data Visualization & Communication,Fundamentals of Data Visualization & Insight Generation,Week 4 - Fundamentals of Data Visualization & Insight Generation," 1. Why visualize data? (human perception, cognitive ease)
 2. Chart types & when to use them (bar, line, scatter, histogram, pie – do’s & don’ts)
 3. Pre-attentive attributes (color, size, position, shape)
 4. Common mistakes in data visuals (misleading axes, clutter, overcomplication)
 5. Principles of effective visuals (clarity, simplicity, relevance)","• Explain why visualization is key to analytics storytelling.
• Select appropriate charts for different kinds of data questions.
• Apply visual design principles to make data clear and accessible.
• Recognize and avoid common pitfalls in data visualization.",Binus,Lecture,Online,On Progress,1 sessions (@ 120mins),Rico Halim,https://docs.google.com/presentation/d/1ck9Ww4_qsQoJzYv5FioS6KEk34J2iUGadbuseWNmeFk/edit?slide=id.g3a2ee23b7c4_0_8#slide=id.g3a2ee23b7c4_0_8,https://docs.google.com/document/d/1AhaipsndYHNeiNzNpa5W8qGtSg48XbQkIPtIClAEv8E/edit?usp=drive_link,"6 FEBRUARI
Progress:

Problem:

Plan:","Completeness Check
- Deck  ⏳
✅ hands on case with provided dataset
✅ references
- Pre/Post Tests✔️
- Photo & Biodata ✔️

Feedback
- Slide intro: Belum include professional contact, bisa diremove irrelevant experience (in competitor), tambahin riset lain yang berkaitan
- Font type & color masih belum rapih dan beragam (Arial, kadang itam kadang biru) seharusnya Red Hat Display dan body text juga biru

Sudah ok overall, bisa ditambahkan aja lebih ke contoh case kapan visual ini digunakan dan ketika menjawab problem apa 

Kalo bisa diberikan waktu juga untuk student coba membuat visualisasi yang tepat, or di quizkan saat kelas ""which viz you should use?"""
Week 4,1st,Data Visualization & Communication,Week 4 - Data Visualization & Communication,Storytelling with Data & Presentations,Week 4 - Storytelling with Data & Presentations,"1. From data to insight: framing the “so what?”
2. Storytelling frameworks: Pyramid Principle, Situation–Complication–Resolution
3. Designing impactful data slides (headline + chart + takeaway)
4. Tailoring the message: executives vs. technical audiences
5. Annotating visuals with insights, not just numbers","• Structure data findings into a compelling narrative.
• Apply storytelling frameworks to guide decision-making.
• Design clear and engaging slides that highlight key insights.
• Adapt communication styles to fit different audiences.",RevoU,Lecture,Online,Not Started,1 sessions (@ 120mins),Cornellius Yudha Wijaya,https://docs.google.com/presentation/d/18K7UiLSNuZQkf_de4-zT-qNOe2x6ARW2ItAWNIpFixM/edit?usp=drive_link,https://docs.google.com/document/d/1HyIVomduek9GI37lQmZ7ieRlzTHwMrAvPtR5ETs45Xk/edit?usp=drive_link,,To be reviewed
Week 4,1st,Data Visualization & Communication,Week 4 - Data Visualization & Communication,Turning Insights into a Data Story,Week 4 - Turning Insights into a Data Story,"1. Recap Week 3 EDA results from each team
2. Create 2–3 visualizations that best explain the findings
3. Draft a short 3–5 slide presentation (problem → data → insight)
4. Peer feedback & discussion on clarity and storytelling approach","  Simulation:
• Transform exploratory insights into clear visuals.
 • Build a concise slide deck that communicates findings effectively.
 • Practice presenting data insights in a story format.
 • Document Capstone Step 3: First Data Story (Problem → Data → Insight).

Capstone Outcome:
 1. A set of visualizations built from their dataset.
 2. A mini data story deck (3–5 slides).
This prepares them for Week 5–6 (AI Foundations & AI for Analytics), where AI will be layered on top to enrich insights.",RevoU,Simulation + Capstone,Online,Not Started,1 sessions (@ 120mins),,,,,
Week 5: AI Foundations,,,,,,,,,,,,,,,,,
Week 5,2nd,AI Foundations & Responsible AI,Week 5 - AI Foundations & Responsible AI,Foundations of Artificial Intelligence (COSC6011003 ),Week 5 - Foundations of Artificial Intelligence (COSC6011003 )," 1. What is AI? (machine learning, generative AI explained simply)
 2. Key applications of AI in business (forecasting, text analysis, personalization, automation)
 3. AI’s strengths (pattern recognition, scalability) and limitations (bias, hallucination, explainability)
 4. AI thinking frameworks (reasoning, multi step)
5. What does it mean by responsible AI","• Explain basic AI concepts: machine learning, NLP, generative models.
• Differentiate between traditional analytics and AI-driven analytics.
• Recognize common AI applications in daily work.
• Identify AI’s limitations and risks.
 • Adopt a mindset of collaborating with AI as a partner, not a threat.",Binus,Lecture,Online,On Progress,1 sessions (@ 120mins),Stefanus Benhard,https://docs.google.com/presentation/d/1vgZ_7emcFsXOYqt1Mqgvc1LNl9zFxuyQu58s1Gfv9Y8/edit?slide=id.g3a2ee23b7c4_0_8#slide=id.g3a2ee23b7c4_0_8,https://docs.google.com/document/d/1ywMQu4FJBIn8bNEoGGHXruu2TYeP0P0dbrzOZcH2F9g/edit?usp=drive_link,"6 FEBRUARI
Progress:

Problem:

Plan:","Completeness Check
- Deck ⏳
- Pre/Post Tests✔️
- Photo & Biodata ✔️

Feedback
- Overall flow sudah sangat baik, bisa consider tambah engagement slide aja biar lebih interaktif

Ditambahkan engagement elements, dan case study untuk ideation kira2 problem mereka bisa disolve dengan AI itu seperti apa "
Week 5,2nd,AI Foundations & Prompting,Week 5 - AI Foundations & Prompting,Prompting 101,Week 5 - Prompting 101,"1. What is prompting and why it matters
2. Prompting techniques: zero-shot, few-shot, chain-of-thought
3. Structuring prompts for analytics tasks (data summarization, insight generation, classification)
4. Examples of good vs. bad prompts
5. Hands-on demo: refining AI responses with better prompts","• Craft effective AI prompts for various business functions like marketing, HR, operations, and many more.
• Understand how GenAI works and optimizing the output by understanding tokenization, temperature, memory, and new prompt engineering techniques (Tree of Thought, Chain of Draft)
• Understand the difference between LLMs and models and how to choose the right LLMs for your business use case
Learn how to mitigate AI key risk for responsible AI usage",RevoU,Lecture,Online,Not Started,1 sessions (@ 120mins),Brandy,https://docs.google.com/presentation/d/1JoTyVncJvTAFgPMndG9ob0dC3QHzplWPTY7MMHZKNqQ/edit?usp=drive_link,https://docs.google.com/document/d/1RSfZ6g-cy5NTsDB_fwrGN9K1-qfzzlgfA62UCsn0-zs/edit?usp=drive_link,,
Week 6: Custom AI Assistants & AI for Analytics ,,,,,,,,,,,,,,,,,
Week 6,2nd,Creating Custom AI Assistants ,Week 6 - Creating Custom AI Assistants ,"No-Code AI Chatbots – Building Custom AI Assistants
","Week 6 - No-Code AI Chatbots – Building Custom AI Assistants
","1. From ChatGPT to CustomGPT – What’s the Difference?
Understanding CustomGPT: Key differences from ChatGPT and its importance for businesses.
2. Building a No-Code AI Chatbot from Scratch
• Step-by-Step Guide: Learn how to design, configure, and train a CustomGPT AI assistant.
• Fine-Tuning Responses: Align chatbot behavior with your company’s brand voice, knowledge, and policies.","• Build your own no-code AI chatbot, designed for your business use case, without any programming knowledge.
• Train your AI with company-specific knowledge for highly accurate and relevant responses.
• Apply prompting for controlled, reliable chatbot responses",RevoU,Lecture,Online,Not Started,1 sessions (@ 120mins),Brandy,https://docs.google.com/presentation/d/1qeAKi9sgRyj7sXfo_Hlg7EPU6xyj8yhzhNQL_LouILA/edit?usp=drive_link,https://docs.google.com/document/d/1X5aOvgCcQ5yR1CQL28G4UTF3-F8faUBHQHqxtvK-SrI/edit?usp=drive_link,,
Week 6,2nd,AI for Analytics,Week 6 - AI for Analytics,Intro to AI in Analytics,Week 6 - Intro to AI in Analytics,"1. Concepts: AI vs. BI, difference between descriptive, predictive, and prescriptive analytics.
2. Industry applications: finance (automated risk alerts), retail (dynamic pricing), supply chain (demand forecasting).
3. AI-Powered Data Analytics Tools
Tools: ChatGPT (data summarization), Gemini for exploratory analysis, Microsoft Copilot/Google Sheets AI.
4. Descriptive & Diagnostic Analytics with AI
 • Using AI for descriptive analytics → summarize datasets automatically
 • Using AI for diagnostic analytics → finding “why” behind anomalies
 • Using AI to create charts
5. Multimodal Analytics (including text & sentiment analysis)
 • OCR (image → text) for reports/document extraction
 • Speech-to-text for meeting summaries
 • Image pattern extraction","•  Differentiate between AI, BI, and automation in the analytics lifecycle.
•  Identify areas where AI enhances descriptive, diagnostic, and predictive insights.
•  Explore practical use cases of AI in reporting, forecasting, and decision-making.
•  Use AI tools to perform descriptive & diagnostic analysis.
•  Understand how AI can process and interpret unstructured text data.",Binus,Lecture,Online,On Progress,1 sessions (@ 120mins),Samson Ndruru,https://docs.google.com/presentation/d/10hXoMopdGSkIuqH_BzCvBzzOInBOYUMtS46QRj3ewhw/edit?slide=id.g3a2ee23b7c4_0_8#slide=id.g3a2ee23b7c4_0_8,https://docs.google.com/document/d/1w7f9qn0ilj3qefo_vUGDUlJqE-ot7nlNPkKSqMR_bIw/edit?usp=drive_link,"6 FEBRUARI
Progress: Done

Problem: -

Plan: -","Completeness Check
- Deck ✔️
- Pre/Post Tests ✔️
- Profile and biodata ✔️
- Case study ✔️
- Reference & key takeaways ✔️

Feedback
- x"
Week 6,2nd,AI for Analytics,Week 6 - AI for Analytics,Simulation: Building Your AI Assistant,Week 6 - Simulation: Building Your AI Assistant,"Practical Exercise: Build and test your AI chatbot for a specific business data use case (e.g., customer support, lead generation, HR, or internal knowledge base).

  1.  Apply learned prompting to configure custom assistant
  2.  Test assistant responses on capstone problem
  3.  Identify data gaps & improvement areas"," Simulation:
• Apply prompting and chatbot tools to design a tailored AI assistant.
 -Demonstrate the assistant’s ability to answer domain-specific queries.
• Reflect on potential improvements and scaling opportunities.

Capstone Output:
1. AI-generated insights from descriptive/diagnostic analysis.
2. Experience building a simple AI assistant relevant to their use case.",RevoU,Simulation + Capstone,Online,Not Started,1 sessions (@ 120mins),,,,,
Week 6,2nd,Guest Lecture and Networking Session,Week 6 - Guest Lecture and Networking Session,How AI is Changing Analytics & Automation and the Ethics,Week 6 - How AI is Changing Analytics & Automation and the Ethics," 1. Industry Talk: “How AI is Changing Analytics & Automation”
 • Guest speaker shares real use cases from their field (finance, retail, supply chain, etc.)
 2. Q&A with Speaker(s)
 • Participants ask about tools, challenges, and career advice.
 3. Networking Circles
 • Small group discussions: “How might AI be applied in my industry or role?” 
 4. Reflection
 • Teams revisit their capstone idea in light of what they heard","• Gain exposure to real-world AI applications beyond the classroom.
• Understand how companies adopt AI responsibly and strategically.
• Build professional connections with peers and guest speakers.
• Connect personal aspirations to industry opportunities.
• Identify common ethical risks in AI analytics & automation.",Binus +  RevoU,Talkshow,Hybrid,Not Started,1 sessions (@270 mins),,,,,
Week 7: AI for Applied Analytics & Automation Intro,,,,,,,,,,,,,,,,,
Week 7,2nd,AI for Applied Analytics & Automation Intro,Week 7 - AI for Applied Analytics & Automation Intro,Applied AI Analytics Use Cases,Week 7 - Applied AI Analytics Use Cases,"Predictive Analytics & Forecasting
1. What is predictive analytics? (regression, classification, forecasting explained simply)
 2. Common use cases: sales forecasts, churn prediction, demand planning
 3. AI tools for prediction (AutoML, GPT-based forecasting, simple models)
 4. Interpreting predictions: accuracy, confidence, and limitations

Text & Sentiment Analysis
1. What is sentiment analysis and why it matters
2. Using AI to analyze unstructured text (customer reviews, survey feedback, support tickets)
3. Hands-on demo: sentiment classification + keyword extraction
4. Topic clustering 
5. Business applications: customer experience tracking, brand monitoring, HR feedback analysis
"," • Explain predictive analytics in plain terms.
 • Identify real-world use cases of prediction in business.
 • Apply AI tools to generate basic forecasts or classifications.
 • Critically evaluate predictions and understand their limitations. 
 • Use AI to perform sentiment and text analysis on real-world datasets.
 • Identify business opportunities unlocked by sentiment insights.
 • Integrate text analytics into decision-making.
",Binus,Lecture,Online,On Progress,1 sessions (@ 120mins),Arya Krisna Putra,https://docs.google.com/presentation/d/1ums-0ztSaKCfTs1sxYTRfNrjCcDClVek8tSWTt4X9e4/edit?slide=id.g3a2ee23b7c4_0_8#slide=id.g3a2ee23b7c4_0_8,https://docs.google.com/document/d/132j1skXR0GUf0eHxBQjI4fsLDcWUlvCnN2gc4V6R_wo/edit?usp=drive_link,"6 FEBRUARI
Progress:

Problem:

Plan: Prepare the Hands On","Completeness Check
- Deck ⏳
- Pre/Post Tests ✔️
- Slide 2 biodata ❌
- Case study ✔️

Feedback
- Hands-on: not represent the key activity proposed HERE"
Week 7,2nd,AI for Applied Analytics & Automation Intro,Week 7 - AI for Applied Analytics & Automation Intro,Workflow Automation Basics (n8n),Week 7 - Workflow Automation Basics (n8n)," 1. What is workflow automation and why it matters
 2. Key building blocks: triggers, actions, integrations
3. Introduction to automation tools: n8n as a no-code workflow automation tool for AI  
 4. Common use cases: auto-reporting, notification alerts, CRM updates
 5. Demo: Simple automation (e.g., form submission → auto summary → Slack/email)
","• Define workflow automation and its benefits.
• Recognize key building blocks of automation tools.
• Identify simple workflows that save time in business contexts.
• Build confidence using n8n to connect data sources.",RevoU,Lecture,Online,Not Started,1 sessions (@ 120mins),Brandy,https://docs.google.com/presentation/d/1Y1Wdq7UuiAwJWOPJSRCOd2WeQV9yzM1KITNQSekw1M4/edit?slide=id.g30d62ff2d6a_0_7#slide=id.g30d62ff2d6a_0_7,https://docs.google.com/document/d/1eOTzp9C29wRRf5vpvptnXqA6-2YD1qR9t9_lS_NXBkE/edit?usp=drive_link,,
Week 7,2nd,AI for Applied Analytics & Automation Intro,Week 7 - AI for Applied Analytics & Automation Intro,Simulation: Applying AI to the Dataset,Week 7 - Simulation: Applying AI to the Dataset,"	1.	Apply 1–2 lightweight AI analytics techniques to the capstone dataset (e.g., simple prediction signal, sentiment/topic extraction, prioritization score).
	2.	Identify one insight/output that is most valuable to operationalize (the “must-build” use case).
	3.	Convert the chosen use case into Workflow Blueprint v1:
	•	trigger/event
	•	required input data fields
	•	AI step and expected output format
	•	branch/decision rule
	•	final destination/action (Slack/Email/Sheet/CRM)
	•	human review/approval checkpoint
	4.	Define 3 test scenarios (normal, edge, failure) and expected results.
	5.	Present blueprint for peer/facilitator checkpoint and scope lock for Week 8 implementation.","	•	Apply basic AI analytics to identify a practical automation opportunity from capstone data.
	•	Select and justify one high-impact use case to automate based on business value and feasibility.
	•	Produce a build-ready workflow blueprint with clear logic, decision rules, and output path.
	•	Create a test plan that prepares the team for Week 8 implementation and validation.",RevoU,Simulation + Capstone,Online,Not Started,1 sessions (@ 120mins),,,,,"untuk materi ini diharapkan bisa lebih handson dalam menjelaskan, lebih ke predictive analytics dan sentiment analytics with LLM, jadi bisa diberikan contoh kasus dan dataset"
Week 8: AI Automation,,,,,,,,,,,,,,,,,
Week 8,2nd,AI Automation,Week 8 - AI Automation,AI-Enhanced Automation,Week 8 - AI-Enhanced Automation,"• Understanding why it's important to automate workflow and embed AI 
• Differentiate between AI and automation
• Hands-On: Basic n8n workflow setup with GPT integration for tasks like data retrieval, email responses, and more  
 Example: Sales data → AI insight → automated weekly report
 Example: Customer feedback → AI sentiment → Slack alert
• Organizing and preparing internal data for more accurate and effective AI solutions"," • Integrate AI tasks within workflow automation.
 • Build simple automations that deliver AI-powered insights.
 • Understand where automation should include human-in-the-loop.
 • Recognize risks of over-automation.
 • Call APIs without coding inside n8n

Building on AI Knowledge  
   • Leveraging data and knowledge bases to train AI models for specific tasks  
   • Using insights from previous sessions (CustomGPT, n8n) to refine AI applications  
   • Organizing and preparing internal data for more accurate and effective AI solutions",Binus,Lecture,Online,On Progress,1 sessions (@ 120mins),Fiqri Ramadhan Tambunan,https://docs.google.com/presentation/d/1jj-RcrMw1z7sIsH_NxFDkyKYO3Ou2TIABDutwgc0wtQ/edit?usp=sharing,https://docs.google.com/document/d/1mO6gZQo5XtS4YdSQGDaysGEbftG277CUF0WaiIpDHSU/edit?usp=drive_link,"6 FEBRUARI
Progress:

Problem:

Plan:","Completeness Check
- Deck 
- Pre/Post Tests ❌ should be in English
- Profile photo and biodata ✔️

Feedback
- Biodata: can add list of research title as expertise field and contact.

Disini penggunaannya dengan Zapier, sedangkan kita harapannya adalah dengan n8n dan masukin AI kesana, sebelumnya udah dijelasin tentang Automation, disini fokusnya harusnya lebih ke AI Enhanced automation"
Week 8,2nd,AI Automation,Week 8 - AI Automation,API Integration for AI Assistant ,Week 8 - API Integration for AI Assistant ,"• Introduction to API Integration
• Enhancing CustomGPT and n8n with Integration  
  • Hands-On: Connecting CustomGPT to external tools for seamless task automation (e.g., lead qualification, report generation)  
  • How to create workflows that automate repetitive tasks and integrate AI into daily operations  ","• Understand the fundamentals of API integration and how APIs enable communication between AI tools and external systems.
• Enhance CustomGPT and n8n workflows by connecting them to third-party tools and data sources.
• Build hands-on integrations that connect CustomGPT to external tools for seamless task automation (e.g., lead qualification, report generation).
• Design and implement workflows that automate repetitive tasks and embed AI into daily business operations.",RevoU,Lecture,Online,Not Started,1 sessions (@ 120mins),Husein Indra Kusuma,https://docs.google.com/presentation/d/1uD5mQac0Z2Ws8uVOt0ZhBBuTqDIyTwtZubD43HmKvCw/edit?usp=drive_link,https://docs.google.com/document/d/1hF3yJ8OMRgl4iv6o1aekTb2BUbmnEiYMxnHhTfHN398/edit?usp=drive_link,,"Zapier sebelumnya digunakan tapi harapannya disini dengan n8n ya mas seperti disampaikan pada saat meeting

"
